player_id,player_name,Brisbane,Hong Kong,Adelaide,Auckland,Australian Open,Montpellier,Cordoba,Dallas,Marseille,Buenos Aires,Delray Beach,Rotterdam,Rio De Janeiro,Acapulco,Dubai,Santiago,Indian Wells Masters,Miami Masters,Estoril,Houston,Marrakech,Monte Carlo Masters,Barcelona,Bucharest,Munich,Madrid Masters,Rome Masters,Geneva,Lyon,Roland Garros,'s-Hertogenbosch,Stuttgart,Halle,Queen's Club,Mallorca,Eastbourne,Wimbledon,Bastad,Gstaad,Hamburg,Newport,Atlanta,Kitzbuhel,Umag,Washington,Canada Masters,Cincinnati Masters,Winston-Salem,US Open,Chengdu,Hangzhou,Tokyo,Beijing,Shanghai Masters,Almaty,Antwerp,Stockholm,Basel,Vienna,Paris Masters,Belgrade,Metz,ATP Finals,total_points_earned
MW75,Felipe Meligeni Alves,,,,,,,,,,,,,50 - R16,,,,,,,,,,,,,,,,,10 - R128,,,,,,,10 - R128,,,0 - R32,,,,,,,,,,,,,,,,,,,,,,,,70
T0HA,Learner Tien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 - QF,10 - R128,,,,,,,,,,,,,,,60
HG86,Lloyd Harris,,,,,10 - R128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 - R64,,,,,,,,,,,,,,,,,,,,,,,,,,,60
H0DU,Gustavo Heide,,,,,,,,,,,,,0 - R32,,,,,,,,,,,,,,,,,10 - R128,,,,,,,,,50 - QF,,,,0 - R16,,,,,,,,,,,,,,,,,,,,,60
HC21,Seongchan Hong,,,,,,,,,,,,,,,,,10 - R128,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 - R16,,,,,,,,,,,,,,,,,,,60
U182,Camilo Ugo Carabelli,,,,,,,,,,25 - R16,,,,,,,,,,,,,,,0 - R32,,,,,,,,,,,,,,,,,,,25 - R16,0 - R64,,,,10 - R128,,,,,,,,,,,,,,,60
Z09Z,Beibit Zhukayev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 - R128,50 - QF,,,,,,,,,60
V836,Juan Pablo Varillas,,,,,10 - R128,,0 - R32,,,0 - R32,,,0 - R32,,,25 - R16,,,,0 - R32,,,,,,,,,,,,,,,,,,,25 - R16,,,,,,,,,,,,,,,,,,,,,,,,,60
WB08,Yosuke Watanuki,,,,,10 - R128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 - R32,,,,,,,,,,60
K926,Mikhail Kukushkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 - R128,,,,,,,,,,,,,,,,,,,,,50 - QF,,,,0 - R32,,,,,,,,,60
Z0CQ,Yi Zhou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 - R16,,,0 - R32,30 - R64,,,,,,,,,,55
U134,Yasutaka Uchiyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 - QF,,,,,,,,,,,,,50
PD31,Benoit Paire,,,,,,25 - R16,,,,,,,,,,,,,,0 - R32,,,,,,,,,,,,,,,,,,,,,25 - R16,,,,,,,,,,,,,,,,,,,,,,,50
WB32,Yibing Wu,,,,,,,,,,,,,,,,,,,,0 - R32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 - R32,,,50 - R32,,,,,,,,,,50
BO10,Gijs Brouwer,,,,,,,,,,,,,,,,,,,,0 - R32,,,,,,,,,,,50 - QF,,,,0 - R32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
M0JZ,Filip Misolic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 - R64,,,,,,,,,,,,,,0 - R32,,,,,,,,,,,,,,,,,,,,50
BV16,Ugo Blanchet,,,,,,0 - R32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 - R16,,,,,,,,,,,,,,,,,,,,,,,,50
S0N0,Tristan Schoolkate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 - R32,,,,,,,,,,,,,,,,,0 - R64,50 - R64,,,,,,,,,,,,,,,50
N679,Stefano Napolitano,,,,,,,,,,,,,,,,,,,,,,,,,,,50 - R32,,,,0 - R32,,,,,,,,0 - R32,,,,,,,,,,,,,,,,,,,,,,,,,50
S0AK,Henri Squire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 - R64,,0 - R32,0 - R32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
D0DT,Martin Damm,,,,,,,,,,,,,,,,,,50 - R32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
T0AP,Chun-Hsin Tseng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 - QF,,,,,,0 - R32,,,,,,,,,,,,,,50
P0CT,Francesco Passaro,,,,,,,,,,,,,,,,0 - R32,,,,,,,,,0 - R32,,50 - R32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
W0BH,Coleman Wong,,0 - R32,,,,,,,,,,,,,,,,10 - R128,,,,,,,,,,,,,,,,,,,,,,,0 - R32,,,,,,,,,,25 - R16,,,10 - R128,0 - R32,,,,,,,,,45
TB69,Dominic Thiem,0 - R32,,,,10 - R128,,,,,,,,,,,,,,25 - R16,,,,,,0 - R32,,,,,,,,,,0 - R32,,,,0 - R32,,,,0 - R32,,,,,,10 - R128,,,,,,,,,,0 - R32,,,,,45
Z419,Bernabe Zapata Miralles,,,0 - R32,,10 - R128,0 - R32,25 - R16,,,0 - R32,,,0 - R32,,,0 - R32,10 - R128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
CH12,Jan Choinski,,,,,,,,,,,,,,,,,,,25 - R16,,,,,,,,,,,,,,,,,,10 - R128,,,,,,,,,,,,10 - R128,,,,,,,,,,,,,,,45
L0IL,Martin Landaluce,,,,,,,,,,,,,,,,,,30 - R64,,,,,0 - R64,,,10 - R128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
KB95,Jason Kubler,25 - R16,,,,10 - R128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
